confidence,owner,kind,symbol,file,line,reference_count,action,decorated_route
medium,sahool-platform,function,identity_summary,services/sahool-platform/core/identity.py,236,0,review_before_delete,False
medium,sahool-platform,function,validate_machine_task,services/sahool-platform/core/isoxml_vrt.py,182,0,review_before_delete,False
medium,sahool-platform,function,explain_matrix_ar,services/sahool-platform/core/knowledge_levels.py,158,0,review_before_delete,False
medium,sahool-platform,function,calibration_method_used,services/sahool-platform/core/learning/calibration_loop.py,95,0,review_before_delete,False
medium,sahool-platform,function,run_calibration,services/sahool-platform/core/learning/calibration_loop.py,115,0,review_before_delete,False
medium,sahool-platform,function,write_calibration,services/sahool-platform/core/learning/calibration_loop.py,186,0,review_before_delete,False
medium,sahool-platform,class,RecommendationProvenance,services/sahool-platform/core/learning/recommendation_log.py,32,0,review_before_delete,False
medium,sahool-platform,class,IndependentMCPServer,services/sahool-platform/core/mcp/independent_servers.py,28,0,review_before_delete,False
medium,sahool-platform,class,JsonModelRegistry,services/sahool-platform/core/mlops_runtime.py,42,0,review_before_delete,False
medium,sahool-platform,function,should_promote,services/sahool-platform/core/mlops_runtime.py,83,0,review_before_delete,False
medium,sahool-platform,function,detect_metric_drift,services/sahool-platform/core/mlops_runtime.py,99,0,review_before_delete,False
medium,sahool-platform,function,multi_season_summary,services/sahool-platform/core/multi_season_analytics.py,275,0,review_before_delete,False
medium,sahool-platform,class,ConnectivityState,services/sahool-platform/core/offline_first.py,334,0,review_before_delete,False
medium,sahool-platform,function,propagate_add,services/sahool-platform/core/provenance.py,124,0,review_before_delete,False
medium,sahool-platform,class,HttpEmbeddingProvider,services/sahool-platform/core/rag/production_qdrant.py,171,0,review_before_delete,False
medium,sahool-platform,function,arbitrate_summary,services/sahool-platform/core/source_of_truth.py,273,0,review_before_delete,False
medium,sahool-platform,function,detect_zones_of_interest,services/sahool-platform/core/spatial/indicators.py,90,0,review_before_delete,False
medium,sahool-platform,function,link_farmer_knowledge,services/sahool-platform/core/spatial/indicators.py,202,0,review_before_delete,False
medium,sahool-platform,class,AcquisitionPlan,services/sahool-platform/core/spatial/pipeline.py,65,0,review_before_delete,False
medium,sahool-platform,function,decide_source,services/sahool-platform/core/spatial/pipeline.py,74,0,review_before_delete,False
medium,sahool-platform,function,build_timeline,services/sahool-platform/core/spatial/pipeline.py,126,0,review_before_delete,False
medium,sahool-platform,function,detect_temporal_change,services/sahool-platform/core/spatial/pipeline.py,141,0,review_before_delete,False
medium,sahool-platform,function,transfer_summary,services/sahool-platform/core/transfer_learning.py,242,0,review_before_delete,False
medium,sahool-platform,function,map_summary_for_print,services/sahool-platform/core/vrt_manual_maps.py,267,0,review_before_delete,False
medium,sahool-platform,class,StepStatus,services/sahool-platform/core/workflow_engine.py,32,0,review_before_delete,False
medium,sahool-platform,function,add_yield,services/sahool-platform/storage/lite_store.py,375,0,review_before_delete,False
medium,sahool-platform,function,add_snippet,services/sahool-platform/storage/lite_store.py,428,0,review_before_delete,False
medium,sahool-platform,function,search_snippets,services/sahool-platform/storage/lite_store.py,440,0,review_before_delete,False
medium,sahool-platform,function,add_farmer_knowledge,services/sahool-platform/storage/lite_store.py,461,0,review_before_delete,False
medium,sahool-platform,function,get_farmer_knowledge,services/sahool-platform/storage/lite_store.py,492,0,review_before_delete,False
medium,sahool-platform,function,add_variety_trial,services/sahool-platform/storage/lite_store.py,511,0,review_before_delete,False
medium,sahool-platform,function,get_variety_trials,services/sahool-platform/storage/lite_store.py,543,0,review_before_delete,False
medium,sahool-platform,class,TestPlanFromRecommendation,services/sahool-platform/tests/test_activity_log.py,17,0,review_before_delete,False
medium,sahool-platform,class,TestCompletion,services/sahool-platform/tests/test_activity_log.py,49,0,review_before_delete,False
medium,sahool-platform,class,TestSkipping,services/sahool-platform/tests/test_activity_log.py,77,0,review_before_delete,False
medium,sahool-platform,class,TestQueries,services/sahool-platform/tests/test_activity_log.py,92,0,review_before_delete,False
medium,sahool-platform,class,TestAdoptionSummary,services/sahool-platform/tests/test_activity_log.py,144,0,review_before_delete,False
medium,sahool-platform,class,TestGeoTag,services/sahool-platform/tests/test_activity_log.py,192,0,review_before_delete,False
medium,sahool-platform,class,TestChannelToggles,services/sahool-platform/tests/test_alert_delivery.py,29,0,review_before_delete,False
medium,sahool-platform,class,TestSeverityFloor,services/sahool-platform/tests/test_alert_delivery.py,75,0,review_before_delete,False
medium,sahool-platform,class,TestEventTypeFilter,services/sahool-platform/tests/test_alert_delivery.py,137,0,review_before_delete,False
medium,sahool-platform,class,TestRendering,services/sahool-platform/tests/test_alert_delivery.py,159,0,review_before_delete,False
medium,sahool-platform,class,TestDeliverability,services/sahool-platform/tests/test_alert_delivery.py,190,0,review_before_delete,False
medium,sahool-platform,class,TestDeliveryPlan,services/sahool-platform/tests/test_alert_delivery.py,234,0,review_before_delete,False
medium,sahool-platform,class,TestEmptyContext,services/sahool-platform/tests/test_alert_rules.py,35,0,review_before_delete,False
medium,sahool-platform,class,TestLowMoisture,services/sahool-platform/tests/test_alert_rules.py,40,0,review_before_delete,False
medium,sahool-platform,class,TestHeavyRain,services/sahool-platform/tests/test_alert_rules.py,72,0,review_before_delete,False
medium,sahool-platform,class,TestDiseaseRisk,services/sahool-platform/tests/test_alert_rules.py,86,0,review_before_delete,False
medium,sahool-platform,class,TestHeatStress,services/sahool-platform/tests/test_alert_rules.py,108,0,review_before_delete,False
medium,sahool-platform,class,TestGrowthStageEscalation,services/sahool-platform/tests/test_alert_rules.py,122,0,review_before_delete,False
medium,sahool-platform,class,TestFrostRisk,services/sahool-platform/tests/test_alert_rules.py,181,0,review_before_delete,False
medium,sahool-platform,class,TestVegetationStress,services/sahool-platform/tests/test_alert_rules.py,195,0,review_before_delete,False
medium,sahool-platform,class,TestMultipleRules,services/sahool-platform/tests/test_alert_rules.py,263,0,review_before_delete,False
