owner,method,path,handler,file,line
mcp-servers,GET,/healthz,healthz,services/mcp_servers/sentinel_hub_server.py,487
mcp-servers,GET,/readyz,readyz,services/mcp_servers/sentinel_hub_server.py,492
mcp-servers,GET,/v1/mcp/tools,list_tools,services/mcp_servers/weather_server.py,85
mcp-servers,POST,/v1/mcp/tools/call,call_tool,services/mcp_servers/weather_server.py,148
mcp-servers,GET,/healthz,healthz,services/mcp_servers/weather_server.py,335
mcp-servers,GET,/readyz,readyz,services/mcp_servers/weather_server.py,340
mcp-servers,GET,/v1/mcp/tools,list_tools,services/mcp_servers/wofost_server.py,51
mcp-servers,POST,/v1/mcp/tools/call,call_tool,services/mcp_servers/wofost_server.py,114
mcp-servers,GET,/healthz,healthz,services/mcp_servers/wofost_server.py,283
mcp-servers,GET,/readyz,readyz,services/mcp_servers/wofost_server.py,288
odoo-bridge,GET,/v1/erp/provider,erp_provider_status,services/odoo-bridge/routers/catalog.py,17
odoo-bridge,GET,/v1/config,get_config,services/odoo-bridge/routers/catalog.py,33
odoo-bridge,GET,/v1/logs,get_logs,services/odoo-bridge/routers/catalog.py,50
odoo-bridge,GET,/v1/products,list_erp_products,services/odoo-bridge/routers/catalog.py,71
odoo-bridge,GET,/v1/suppliers,list_erp_suppliers,services/odoo-bridge/routers/catalog.py,78
odoo-bridge,GET,/healthz,healthz,services/odoo-bridge/routers/health.py,31
odoo-bridge,GET,/readyz,readyz,services/odoo-bridge/routers/health.py,41
odoo-bridge,GET,/v1/readyz/capabilities,readyz_capabilities,services/odoo-bridge/routers/health.py,76
odoo-bridge,POST,/v1/sync,trigger_sync,services/odoo-bridge/routers/sync.py,78
odoo-bridge,POST,/v1/webhook/odoo,odoo_webhook,services/odoo-bridge/routers/webhooks.py,21
rag-retrieval,GET,/healthz,healthz,services/rag-retrieval/main.py,55
rag-retrieval,GET,/metrics,metrics,services/rag-retrieval/main.py,60
rag-retrieval,GET,/readyz,readyz,services/rag-retrieval/main.py,73
rag-retrieval,POST,/v1/ingest,ingest,services/rag-retrieval/main.py,90
rag-retrieval,POST,/v1/search,search,services/rag-retrieval/main.py,115
raster-service,POST,/v1/zones/classify,zones_classify,services/raster-service/routers/analysis.py,30
raster-service,POST,/v1/change/detect,change_detect,services/raster-service/routers/analysis.py,48
raster-service,POST,/v1/fvc/compute,fvc_compute,services/raster-service/routers/analysis.py,85
raster-service,POST,/v1/sar/rvi,sar_rvi_endpoint,services/raster-service/routers/analysis.py,111
raster-service,POST,/v1/terrain/slope,terrain_slope,services/raster-service/routers/analysis.py,135
raster-service,GET,/v1/cog/validate,cog_validate,services/raster-service/routers/analysis.py,153
