service,file,line,method,path,function
raster-service,services/raster-service/routers/soil_tiles.py,100,GET,/v1/soil/properties,soil_properties
raster-service,services/raster-service/routers/soil_tiles.py,144,GET,/v1/fields/{field_id}/soil/summary,field_soil_summary
raster-service,services/raster-service/routers/soil_tiles.py,166,GET,/v1/fields/{field_id}/soil/sampling-zones.geojson,field_soil_sampling_zones
raster-service,services/raster-service/routers/soil_tiles.py,193,GET,/v1/fields/{field_id}/soil/sampling-plan,field_soil_sampling_plan
raster-service,services/raster-service/routers/stac.py,17,GET,/stac,stac_landing
raster-service,services/raster-service/routers/stac.py,25,GET,/stac/collections,stac_collections
raster-service,services/raster-service/routers/stac.py,33,POST,/stac/mosaicjson,stac_mosaicjson
raster-service,services/raster-service/routers/storage.py,26,POST,/upload/raster,upload_raster
raster-service,services/raster-service/routers/storage.py,43,POST,/upload/drone,upload_drone
raster-service,services/raster-service/routers/storage.py,65,GET,/storage/stats,storage_stats
raster-service,services/raster-service/routers/storage.py,74,POST,/storage/cleanup,storage_cleanup
raster-service,services/raster-service/routers/storage.py,87,GET,/offline/packs,list_offline_packs
raster-service,services/raster-service/routers/storage.py,115,GET,/offline/packs/{pack_name},download_offline_pack
raster-service,services/raster-service/routers/terrain_tiles.py,45,GET,/v1/terrain/status,terrain_status
raster-service,services/raster-service/routers/terrain_tiles.py,63,GET,/v1/elevation/hillshade/{z}/{x}/{y}.png,hillshade_tile
raster-service,services/raster-service/routers/terrain_tiles.py,77,GET,/v1/slope/{z}/{x}/{y}.png,slope_tile
raster-service,services/raster-service/routers/terrain_tiles.py,91,GET,/v1/terrain/tilejson,terrain_tilejson
raster-service,services/raster-service/routers/terrain_tiles.py,146,GET,/v1/fields/{field_id}/contours.geojson,field_contours
raster-service,services/raster-service/routers/tiles.py,23,GET,/tiles/{layer_id}/{z}/{x}/{y}.png,get_tile
raster-service,services/raster-service/routers/tiles.py,37,GET,/layers/{layer_id}/tilejson,layer_tilejson
raster-service,services/raster-service/routers/timeseries_routes.py,24,GET,/imagery/timeseries,imagery_timeseries
raster-service,services/raster-service/routers/timeseries_routes.py,77,POST,/imagery/timeseries/analyze,imagery_timeseries_analyze
raster-service,services/raster-service/routers/timeseries_routes.py,92,POST,/imagery/timeseries/parallel,imagery_timeseries_parallel
sahool-platform,services/sahool-platform/api/chat_proxy_reference.py,110,POST,/api/chat,chat
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,147,POST,/feature-schema,feature_schema
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,152,POST,/dataset,dataset
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,162,POST,/models/promote,model_promotion
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,172,POST,/online-update,online_update
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,182,POST,/experiments/evaluate,experiment_evaluation
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,192,POST,/scenario,scenario
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,197,POST,/cycle,learning_cycle
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,209,POST,/drift,drift
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,218,POST,/retraining/plan,retraining_plan
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,225,POST,/champion-challenger,champion_challenger
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,237,POST,/feature-store/register,feature_store_register
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,244,POST,/feature-store/offline-dataset,feature_store_offline_dataset
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,254,POST,/feature-store/online-materialization,feature_store_online_materialization
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,262,POST,/feature-store/point-in-time,feature_store_point_in_time
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,269,POST,/models/register,model_register
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,284,POST,/models/serving/promote,model_serving_promote
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,291,POST,/models/serving/rollback,model_serving_rollback
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,301,GET,/models/serving/{alias:path},model_serving_resolve
sahool-platform,services/sahool-platform/api/phase11_federated_agents.py,115,POST,/context,context
sahool-platform,services/sahool-platform/api/phase11_federated_agents.py,125,POST,/agents/propose,agents_propose
sahool-platform,services/sahool-platform/api/phase11_federated_agents.py,132,POST,/consensus,consensus
sahool-platform,services/sahool-platform/api/phase11_federated_agents.py,142,POST,/operation-plan,operation_plan
sahool-platform,services/sahool-platform/api/phase11_federated_agents.py,152,POST,/experiments/shadow,shadow_experiment
sahool-platform,services/sahool-platform/api/phase11_federated_agents.py,166,POST,/quality,quality
sahool-platform,services/sahool-platform/api/phase11_federated_agents.py,171,POST,/cycle,cycle
sahool-platform,services/sahool-platform/api/phase11_federated_agents.py,195,POST,/runtime/resolve,runtime_resolve
sahool-platform,services/sahool-platform/api/phase11_federated_agents.py,206,POST,/runtime/authority-envelope,runtime_authority_envelope
sahool-platform,services/sahool-platform/api/phase11_federated_agents.py,213,POST,/runtime/reputation/update,runtime_reputation_update
sahool-platform,services/sahool-platform/api/phase11_federated_agents.py,224,POST,/runtime/event-envelope,runtime_event_envelope
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,133,POST,/plugins/validate,validate_plugin
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,137,POST,/marketplace/apps,create_marketplace_app
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,143,POST,/marketplace/installations,install_app
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,155,POST,/plugins/sandbox-policy,sandbox_policy
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,159,POST,/webhooks,create_webhook
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,167,POST,/webhooks/delivery-plan,webhook_delivery_plan
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,171,POST,/connectors/descriptor,connector_descriptor
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,185,GET,/sdk/manifest,sdk_manifest
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,189,GET,/graphql/schema,graphql_schema
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,193,GET,/developer-portal/index,developer_portal_index
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,197,POST,/usage,usage_record
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,207,POST,/quota/check,quota_check
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,211,POST,/plugins/runtime/plan,plugin_runtime_plan
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,222,POST,/plugins/runtime/validate-output,plugin_runtime_validate_output
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,226,POST,/plugins/runtime/event-envelope,plugin_runtime_event_envelope
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,235,POST,/plugins/runtime/report,plugin_runtime_report
sahool-platform,services/sahool-platform/api/phase12_marketplace_ecosystem.py,239,POST,/cycle,ecosystem_cycle
sahool-platform,services/sahool-platform/api/phase9_autonomous_farm_os.py,112,POST,/plan,create_execution_plan
sahool-platform,services/sahool-platform/api/phase9_autonomous_farm_os.py,134,POST,/verify,verify_execution
sahool-platform,services/sahool-platform/api/phase9_autonomous_farm_os.py,148,POST,/cycle,run_cycle
sahool-platform,services/sahool-platform/api/phase9_autonomous_farm_os.py,175,POST,/models/register,register_model
sahool-platform,services/sahool-platform/api/phase9_autonomous_farm_os.py,189,POST,/experiments/assign,assign_variant
sahool-platform,services/sahool-platform/api/phase9_autonomous_farm_os.py,196,POST,/events/from-plan,events_from_plan
sahool-platform,services/sahool-platform/api/phase9_autonomous_farm_os.py,202,POST,/events/replay,replay_events
sahool-platform,services/sahool-platform/api/phase9_autonomous_farm_os.py,207,POST,/verify-loop,command_verification_loop
sahool-platform,services/sahool-platform/api/phase9_autonomous_farm_os.py,217,POST,/iot/dispatch/preview,preview_iot_dispatch
sahool-platform,services/sahool-platform/api/phase9_autonomous_farm_os.py,230,POST,/iot/dispatch/simulate,simulate_iot_dispatch
sahool-platform,services/sahool-platform/api/phase9_autonomous_farm_os.py,251,POST,/iot/telemetry/verify,verify_iot_telemetry
sahool-platform,services/sahool-platform/api/routers/admin.py,35,GET,/api/v1/admin/events/dead-letter,admin_events_dead_letter
sahool-platform,services/sahool-platform/api/routers/admin.py,83,POST,/api/v1/admin/events/dead-letter/{outbox_id}/requeue,admin_requeue_dead_letter
sahool-platform,services/sahool-platform/api/routers/admin.py,101,POST,/api/v1/admin/events/dead-letter/requeue-all,admin_requeue_all_dead_letter
sahool-platform,services/sahool-platform/api/routers/admin.py,122,GET,/api/v1/admin/outbox/dead-letter,admin_outbox_dead_letter
sahool-platform,services/sahool-platform/api/routers/admin.py,159,POST,/api/v1/admin/outbox/dead-letter/requeue,admin_outbox_requeue_dead_letter
sahool-platform,services/sahool-platform/api/routers/agricultural_proverbs.py,22,GET,/api/v1/agricultural-proverbs/for-date,agricultural_proverbs_for_date
sahool-platform,services/sahool-platform/api/routers/agricultural_proverbs.py,30,GET,/api/v1/agricultural-proverbs,agricultural_proverbs
sahool-platform,services/sahool-platform/api/routers/agro_intelligence.py,154,POST,/api/v1/agro/crop-risk,crop_risk_endpoint
sahool-platform,services/sahool-platform/api/routers/agro_intelligence.py,167,POST,/api/v1/agro/plant-soil-feedback,plant_soil_feedback_endpoint
sahool-platform,services/sahool-platform/api/routers/agro_intelligence.py,175,POST,/api/v1/agro/plant-soil-feedback/trend,plant_soil_feedback_trend_endpoint
sahool-platform,services/sahool-platform/api/routers/agro_intelligence.py,189,POST,/api/v1/agro/crop-rotation,crop_rotation_endpoint
sahool-platform,services/sahool-platform/api/routers/agro_intelligence.py,206,POST,/api/v1/agro/season-comparison,season_comparison_endpoint
sahool-platform,services/sahool-platform/api/routers/agro_intelligence.py,214,POST,/api/v1/agro/decision-playbook,decision_playbook_endpoint
sahool-platform,services/sahool-platform/api/routers/agro_intelligence.py,303,POST,/api/v1/work-orders/from-recommendation,work_order_from_recommendation_endpoint
sahool-platform,services/sahool-platform/api/routers/agro_zones.py,29,GET,/api/v1/agro-zones/list,agro_zones_list_endpoint
sahool-platform,services/sahool-platform/api/routers/agro_zones.py,35,GET,/api/v1/agro-zones/profile,agro_zone_profile_endpoint
